datetime,open,high,low,close,volume,reserve,funding_rates,mvrv,nrpl,nupl,stock_to_flow_reversion,sth_sopr,signal,RSI,9_ema,21_ema,50_ema,200_ema,Fear_and_Greed_Index
2020-07-16,9190.8,9216.02,9005.0,9130.11,8765.69858912,2889261.77961244,0.00933182,1.56397178,-3694022.86216907,0.36060227,0.42101128,0.99713132,none,47.1087995565639,9214.53508100702,9196.11925814127,9524.94585635776,9671.52880995475,43
2020-07-17,9130.93,9182.99,9054.99,9154.29,6423.74716202,2889943.46060304,0.00726197,1.56855505,336751.34001351,0.36247058,0.36635446,0.99972561,none,48.8430876181048,9202.48606480562,9206.29227799829,9560.41322992374,9718.27179533588,41
2020-07-18,9154.29,9210.0,9122.65,9175.85,4121.62697417,2890641.93435141,0.00412473,1.57250675,7637218.90666812,0.36407268,0.4046487,1.00072406,buy,50.4046380609076,9197.15885184449,9216.46529785531,9595.88060348972,9765.01478071702,44
2020-07-19,9175.83,9245.03,9105.37,9212.87,3520.07247613,2892066.59340134,0.00780885,1.57935472,20531198.6436615,0.36683002,0.40960735,1.00085916,none,53.0544697153765,9200.30108147559,9226.63831771234,9631.3479770557,9811.75776609815,41
2020-07-20,9214.01,9223.51,9131.0,9161.05,5815.33084221,2891858.46532965,0.01024385,1.56848314,7103350.95575227,0.36244134,0.43786022,1.00064703,none,49.099864026245,9192.45086518048,9236.81133756936,9666.81535062168,9858.50075147929,44
2020-07-21,9161.05,9438.0,9157.04,9394.14,9603.9151125,2886594.014075,0.00698871,1.60788325,32304613.0992774,0.3780643,0.39803734,1.0099275,none,62.6028686196365,9232.78869214438,9246.98435742638,9702.28272418767,9905.24373686042,44
2020-07-22,9394.14,9567.77,9277.0,9536.18,10362.35264843,2900147.75059858,0.00778819,1.63219166,59208774.3578517,0.38732685,0.46571811,1.0062422,none,68.1480874867021,9293.46695371551,9257.1573772834,9737.75009775365,9951.98672224156,50
2020-07-23,9536.2,9686.0,9450.04,9613.24,12992.9719195,2899728.10304384,0.0112427,1.64259907,82163935.3160231,0.39120871,0.44297934,1.0137363,none,70.6875163116616,9357.42156297241,9267.33039714042,9773.21747131963,9998.72970762269,55
2020-07-24,9613.24,9645.55,9475.7,9551.21,9798.89346586,2902496.05021766,0.00825797,1.63234309,54454169.9326415,0.38738369,0.52138766,1.01032586,none,66.117926514643,9396.17925037792,9293.13763376402,9808.68484488561,10045.4726930038,53
2020-07-25,9551.21,9747.76,9536.64,9711.33,6973.11089437,2904662.27500171,0.01073565,1.65807585,50368802.5206758,0.39689128,0.46731668,1.01500212,none,71.2792265741287,9459.20940030234,9331.15512160365,9844.15221845159,10092.215678385,55
2020-07-26,9711.79,10150.0,9661.35,9941.0,11615.0460936,2913072.21274595,0.03171622,1.69613999,76097112.2738609,0.41042602,0.53227451,1.02340637,buy,76.7500686185863,9555.56752024187,9386.59556509423,9879.61959201757,10138.9586637661,55
2020-07-27,9941.0,11420.0,9935.0,11048.91,41850.57309953,2930731.8116394,0.04830488,1.87843243,359294060.268271,0.46764122,0.5577439,1.05832156,none,88.3140443832435,9854.2360161935,9537.71505917657,9915.08696558355,10185.7016491472,58
2020-07-28,11048.05,11259.0,10575.0,10934.23,26011.37513947,2944949.13925924,0.06512767,1.85163945,393782417.845052,0.45993806,0.5369679,1.04701682,none,83.6747917510775,10070.2348129548,9664.67096288779,9950.55433914953,10232.4446345284,76
2020-07-29,10934.22,11350.0,10843.47,11110.12,18556.27794282,2947289.06984816,0.04629321,1.87860331,217179028.132815,0.46768964,0.55716452,1.03656546,none,84.9781942204858,10278.2118503638,9796.07542080709,9986.02171271551,10279.1876199095,71
2020-07-30,11108.16,11188.65,10811.0,11115.95,12408.70410754,2943187.41634214,0.04832092,1.87599313,169159725.162644,0.46694901,0.50830199,1.02354948,none,85.0208834286593,10445.7594802911,9916.06401891553,10021.4890862815,10325.9306052906,76
2020-07-31,11115.99,11460.0,10975.0,11351.62,15747.02174952,2937287.43447443,0.03203296,1.91247848,196199664.606255,0.4771183,0.5883304,1.02680823,none,86.6699837151332,10626.9315842329,10046.569108105,10056.9564598475,10372.6735906718,75
2020-08-01,11351.61,11888.0,11237.82,11810.07,18293.12524307,2942783.30186272,0.04109297,1.98655005,173016662.144364,0.49661475,0.54807274,1.03853935,none,89.1682178683999,10863.5592673863,10206.8873710046,10092.4238334135,10419.4165760529,75
2020-08-02,11810.07,12134.29,10546.15,11068.54,28118.42911355,2944408.12750233,0.02654599,1.86029682,97365499.2894039,0.46245137,0.52869223,1.01767268,none,67.2229281225138,10904.555413909,10285.219428186,10127.8912069794,10466.159561434,80
